Modes	Outlets	Supercatchment	StreamID
580	1236	10	7
1227	1353	10	7
554	865	10	8
763	1095	10	8
362	1155	10	8
917	1293	10	8
1049	1401	10	8
571	944	10	9
337	1155	10	9
913	1278	10	9
1096	1394	10	9
337	1155	10	10
631	1607	10	10
337	1155	10	11
649	1412	10	11
1338	1709	10	11
749	984	10	12
327	1155	10	12
880	1292	10	12
337	1155	10	13
710	1164	10	13
1156	1549	10	13
1333	1695	10	13
1759	1782	10	13
749	952	10	14
881	1051	10	14
362	1155	10	14
1163	1253	10	14
337	1155	10	15
784	1282	10	15
1027	1410	10	15
1288	1607	10	15
337	1155	10	16
783	1425	10	16
1149	1516	10	16
1463	1660	10	16
337	1155	10	17
963	1337	10	17
783	1443	10	17
1096	1495	10	17
1382	1719	10	17
1529	1867	10	17
1754	1948	10	17
333	1155	10	21
769	1443	10	21
1055	1512	10	21
1394	1739	10	21
1639	1979	10	21
1986	2323	10	21
2281	2432	10	21
333	1155	10	22
769	1443	10	22
1024	1522	10	22
1586	2446	10	22
2383	2680	10	22
333	1155	10	23
775	1443	10	23
1062	1786	10	23
1549	2730	10	23
333	1155	10	24
775	1443	10	24
1062	1786	10	24
1493	2003	10	24
1743	2286	10	24
1912	2480	10	24
333	1155	10	25
769	1443	10	25
1614	1934	10	25
1898	2295	10	25
1079	2950	10	25
333	1155	10	26
767	1443	10	26
1665	2382	10	26
2048	2694	10	26
1094	2950	10	26
2195	2951	10	26
333	1155	10	27
769	1443	10	27
1668	2316	10	27
1923	2416	10	27
2101	2638	10	27
1079	2950	10	27
333	1155	10	28
767	1443	10	28
1094	2950	10	28
1939	2958	10	28
333	1155	10	29
1092	2941	10	29
2839	3409	10	29
333	1155	10	30
1094	2950	10	30
2050	3268	10	30
2932	3387	10	30
3351	3495	10	30
443	568	11	2
408	789	11	5
569	1204	11	5
857	1457	11	5
1257	1859	11	5
1543	1879	11	5
493	904	11	6
757	1154	11	6
1125	1241	11	6
1023	1245	11	6
350	1082	11	7
716	1376	11	7
957	1669	11	7
1065	1777	11	7
1464	1962	11	7
350	1082	11	8
750	1351	11	8
991	1424	11	8
1094	1524	11	8
1428	1822	11	8
1550	1871	11	8
353	1083	11	9
741	1351	11	9
1025	2125	11	9
1665	2129	11	9
1868	2285	11	9
328	525	12	2
674	801	12	2
336	731	12	3
782	855	12	3
303	465	12	4
435	1053	12	4
1224	1553	12	4
311	469	12	5
611	839	12	5
438	616	13	2
749	1060	13	2
967	1079	13	2
340	565	13	4
561	893	13	4
421	739	13	5
630	903	13	5
414	877	13	6
674	1054	13	6
500	1017	13	7
329	1024	13	7
694	1027	13	7
845	1149	13	7
1123	1211	13	7
329	1024	13	8
671	1224	13	8
885	1576	13	8
595	1163	13	9
961	1295	13	9
1120	1418	13	9
690	1116	13	10
1028	1320	13	10
1132	1473	13	10
1225	1554	13	10
1531	1616	13	10
672	1012	13	11
1046	1176	13	11
713	952	13	12
873	1043	13	12
1056	1186	13	12
717	1326	13	14
1054	1462	13	14
1526	1666	13	14
785	1102	13	15
946	1321	13	15
1300	1623	13	15
770	1446	13	16
1245	1584	13	16
815	1145	13	17
945	1337	13	17
1183	1485	13	17
833	1547	13	18
1375	1635	13	18
1666	1812	13	18
876	1174	13	19
1111	1332	13	19
1346	1554	13	19
1045	1332	13	20
1203	1426	13	20
1088	1365	13	22
1184	1774	13	22
1016	1530	13	23
1143	1579	13	23
1427	1760	13	23
1607	1827	13	23
1923	2106	13	23
1035	2016	13	24
1612	2069	13	24
2094	2267	13	24
1093	1312	13	25
1350	1668	13	25
1631	1923	13	25
1856	2074	13	25
1096	1558	13	26
1330	1676	13	26
299	2102	13	26
1430	2108	13	26
1793	2331	13	26
2231	2559	13	26
1124	1515	13	27
1379	1742	13	27
299	2102	13	27
1685	2427	13	27
2037	2635	13	27
2304	2709	13	27
1146	1442	13	28
299	2102	13	28
1351	2288	13	28
2182	2500	13	28
1197	1382	13	29
1323	1685	13	29
1576	2096	13	29
296	2102	13	29
1325	1613	13	31
1614	1977	13	31
299	2102	13	31
299	2099	13	36
1662	2256	13	36
299	2102	13	37
1747	2514	13	37
2259	2760	13	37
299	2102	13	38
2202	3002	13	38
299	2102	13	39
1398	2228	13	39
2241	2611	13	39
2522	3402	13	39
299	2097	13	40
1967	2253	13	40
1745	2264	13	40
299	2102	13	42
1519	2139	13	42
1414	2229	13	42
2078	2979	13	42
2836	3391	13	42
299	2102	13	43
1519	2139	13	43
1414	2229	13	43
1870	3275	13	43
3365	3485	13	43
299	2102	13	44
1414	2229	13	44
1871	2586	13	44
1697	3349	13	44
299	2088	13	45
299	2088	13	46
2070	2433	13	46
299	2086	13	47
1900	2498	13	47
2227	2905	13	47
2504	3195	13	47
2783	3462	13	47
299	2097	13	49
1558	2286	13	49
2022	2563	13	49
299	2099	13	50
1555	2276	13	50
299	2086	13	51
2205	2358	13	51
2314	2482	13	51
2450	2624	13	51
299	2096	13	53
1843	2276	13	53
2071	2560	13	53
299	2086	13	57
2032	2254	13	57
1930	2494	13	57
2210	2502	13	57
2496	2654	13	57
299	2086	13	58
1975	2474	13	58
2460	2640	13	58
299	2096	13	59
1831	2274	13	59
2192	2547	13	59
2503	2756	13	59
2713	2937	13	59
299	2087	13	60
1965	2487	13	60
299	2087	13	61
1971	2497	13	61
2224	2801	13	61
299	2086	13	62
1930	2494	13	62
2161	3043	13	62
299	2102	13	63
1419	2229	13	63
1697	3349	13	63
2182	3622	13	63
3583	3743	13	63
299	2086	13	64
1932	2484	13	64
2160	2784	13	64
2571	3256	13	64
299	2087	13	65
1939	2484	13	65
299	2102	13	66
1414	2229	13	66
2051	2417	13	66
2296	2959	13	66
2606	3307	13	66
1722	3349	13	66
299	2102	13	67
1411	2229	13	67
1711	3349	13	67
2201	3532	13	67
299	2102	13	68
1419	2229	13	68
1698	3276	13	68
